MP,3P,agg.three,agg.minutes,games,player,steph.ind
35.0,5.0,5.0,35.0,1,"Stephen Curry, 2015-16",2
27.0,4.0,9.0,62.0,2,"Stephen Curry, 2015-16",2
35.0,8.0,17.0,97.0,3,"Stephen Curry, 2015-16",2
28.0,4.0,21.0,125.0,4,"Stephen Curry, 2015-16",2
32.0,7.0,28.0,157.0,5,"Stephen Curry, 2015-16",2
34.0,8.0,36.0,191.0,6,"Stephen Curry, 2015-16",2
39.0,2.0,38.0,230.0,7,"Stephen Curry, 2015-16",2
36.0,3.0,41.0,266.0,8,"Stephen Curry, 2015-16",2
34.0,3.0,44.0,300.0,9,"Stephen Curry, 2015-16",2
37.0,8.0,52.0,337.0,10,"Stephen Curry, 2015-16",2
43.0,5.0,57.0,380.0,11,"Stephen Curry, 2015-16",2
39.0,5.0,62.0,419.0,12,"Stephen Curry, 2015-16",2
36.0,6.0,68.0,455.0,13,"Stephen Curry, 2015-16",2
36.0,3.0,71.0,491.0,14,"Stephen Curry, 2015-16",2
27.0,3.0,74.0,518.0,15,"Stephen Curry, 2015-16",2
30.0,4.0,78.0,548.0,16,"Stephen Curry, 2015-16",2
30.0,9.0,87.0,578.0,17,"Stephen Curry, 2015-16",2
29.0,3.0,90.0,607.0,18,"Stephen Curry, 2015-16",2
37.0,4.0,94.0,644.0,19,"Stephen Curry, 2015-16",2
30.0,8.0,102.0,674.0,20,"Stephen Curry, 2015-16",2
37.0,9.0,111.0,711.0,21,"Stephen Curry, 2015-16",2
32.0,5.0,116.0,743.0,22,"Stephen Curry, 2015-16",2
35.0,3.0,119.0,778.0,23,"Stephen Curry, 2015-16",2
46.0,6.0,125.0,824.0,24,"Stephen Curry, 2015-16",2
35.0,2.0,127.0,859.0,25,"Stephen Curry, 2015-16",2
29.0,2.0,129.0,888.0,26,"Stephen Curry, 2015-16",2
39.0,2.0,131.0,927.0,27,"Stephen Curry, 2015-16",2
34.0,2.0,133.0,961.0,28,"Stephen Curry, 2015-16",2
36.0,1.0,134.0,997.0,29,"Stephen Curry, 2015-16",2
30.0,6.0,140.0,1027.0,30,"Stephen Curry, 2015-16",2
14.0,1.0,141.0,1041.0,31,"Stephen Curry, 2015-16",2
31.0,5.0,146.0,1072.0,32,"Stephen Curry, 2015-16",2
26.0,4.0,150.0,1098.0,33,"Stephen Curry, 2015-16",2
28.0,4.0,154.0,1126.0,34,"Stephen Curry, 2015-16",2
37.0,8.0,162.0,1163.0,35,"Stephen Curry, 2015-16",2
37.0,4.0,166.0,1200.0,36,"Stephen Curry, 2015-16",2
39.0,5.0,171.0,1239.0,37,"Stephen Curry, 2015-16",2
29.0,8.0,179.0,1268.0,38,"Stephen Curry, 2015-16",2
36.0,7.0,186.0,1304.0,39,"Stephen Curry, 2015-16",2
28.0,7.0,193.0,1332.0,40,"Stephen Curry, 2015-16",2
33.0,3.0,196.0,1365.0,41,"Stephen Curry, 2015-16",2
36.0,8.0,204.0,1401.0,42,"Stephen Curry, 2015-16",2
28.0,6.0,210.0,1429.0,43,"Stephen Curry, 2015-16",2
31.0,3.0,213.0,1460.0,44,"Stephen Curry, 2015-16",2
34.0,5.0,218.0,1494.0,45,"Stephen Curry, 2015-16",2
31.0,3.0,221.0,1525.0,46,"Stephen Curry, 2015-16",2
35.0,11.0,232.0,1560.0,47,"Stephen Curry, 2015-16",2
37.0,1.0,233.0,1597.0,48,"Stephen Curry, 2015-16",2
37.0,7.0,240.0,1634.0,49,"Stephen Curry, 2015-16",2
30.0,5.0,245.0,1664.0,50,"Stephen Curry, 2015-16",2
26.0,7.0,252.0,1690.0,51,"Stephen Curry, 2015-16",2
35.0,3.0,255.0,1725.0,52,"Stephen Curry, 2015-16",2
35.0,5.0,260.0,1760.0,53,"Stephen Curry, 2015-16",2
35.0,6.0,266.0,1795.0,54,"Stephen Curry, 2015-16",2
34.0,10.0,276.0,1829.0,55,"Stephen Curry, 2015-16",2
37.0,12.0,288.0,1866.0,56,"Stephen Curry, 2015-16",2
37.0,5.0,293.0,1903.0,57,"Stephen Curry, 2015-16",2
34.0,1.0,294.0,1937.0,58,"Stephen Curry, 2015-16",2
37.0,7.0,301.0,1974.0,59,"Stephen Curry, 2015-16",2
31.0,3.0,304.0,2005.0,60,"Stephen Curry, 2015-16",2
29.0,7.0,311.0,2034.0,61,"Stephen Curry, 2015-16",2
34.0,7.0,318.0,2068.0,62,"Stephen Curry, 2015-16",2
31.0,4.0,322.0,2099.0,63,"Stephen Curry, 2015-16",2
28.0,8.0,330.0,2127.0,64,"Stephen Curry, 2015-16",2
34.0,6.0,336.0,2161.0,65,"Stephen Curry, 2015-16",2
37.0,1.0,337.0,2198.0,66,"Stephen Curry, 2015-16",2
34.0,2.0,339.0,2232.0,67,"Stephen Curry, 2015-16",2
37.0,4.0,343.0,2269.0,68,"Stephen Curry, 2015-16",2
35.0,5.0,348.0,2304.0,69,"Stephen Curry, 2015-16",2
33.0,2.0,350.0,2337.0,70,"Stephen Curry, 2015-16",2
34.0,6.0,356.0,2371.0,71,"Stephen Curry, 2015-16",2
42.0,5.0,361.0,2413.0,72,"Stephen Curry, 2015-16",2
36.0,8.0,369.0,2449.0,73,"Stephen Curry, 2015-16",2
34.0,9.0,378.0,2483.0,74,"Stephen Curry, 2015-16",2
42.0,4.0,382.0,2525.0,75,"Stephen Curry, 2015-16",2
36.0,3.0,385.0,2561.0,76,"Stephen Curry, 2015-16",2
33.0,3.0,388.0,2594.0,77,"Stephen Curry, 2015-16",2
35.0,4.0,392.0,2629.0,78,"Stephen Curry, 2015-16",2
29.0,10.0,402.0,2658.0,79,"Stephen Curry, 2015-16",2
36.0,2.0,2.0,36.0,1,"Stephen Curry, 2014-15",1
34.0,3.0,5.0,70.0,2,"Stephen Curry, 2014-15",1
30.0,1.0,6.0,100.0,3,"Stephen Curry, 2014-15",1
33.0,4.0,10.0,133.0,4,"Stephen Curry, 2014-15",1
39.0,6.0,16.0,172.0,5,"Stephen Curry, 2014-15",1
34.0,4.0,20.0,206.0,6,"Stephen Curry, 2014-15",1
35.0,0.0,20.0,241.0,7,"Stephen Curry, 2014-15",1
31.0,3.0,23.0,272.0,8,"Stephen Curry, 2014-15",1
28.0,3.0,26.0,300.0,9,"Stephen Curry, 2014-15",1
29.0,5.0,31.0,329.0,10,"Stephen Curry, 2014-15",1
24.0,2.0,33.0,353.0,11,"Stephen Curry, 2014-15",1
38.0,2.0,35.0,391.0,12,"Stephen Curry, 2014-15",1
37.0,8.0,43.0,428.0,13,"Stephen Curry, 2014-15",1
23.0,6.0,49.0,451.0,14,"Stephen Curry, 2014-15",1
32.0,1.0,50.0,483.0,15,"Stephen Curry, 2014-15",1
28.0,1.0,51.0,511.0,16,"Stephen Curry, 2014-15",1
36.0,3.0,54.0,547.0,17,"Stephen Curry, 2014-15",1
30.0,3.0,57.0,577.0,18,"Stephen Curry, 2014-15",1
36.0,1.0,58.0,613.0,19,"Stephen Curry, 2014-15",1
31.0,1.0,59.0,644.0,20,"Stephen Curry, 2014-15",1
37.0,3.0,62.0,681.0,21,"Stephen Curry, 2014-15",1
37.0,3.0,65.0,718.0,22,"Stephen Curry, 2014-15",1
39.0,6.0,71.0,757.0,23,"Stephen Curry, 2014-15",1
38.0,1.0,72.0,795.0,24,"Stephen Curry, 2014-15",1
41.0,5.0,77.0,836.0,25,"Stephen Curry, 2014-15",1
26.0,1.0,78.0,862.0,26,"Stephen Curry, 2014-15",1
29.0,2.0,80.0,891.0,27,"Stephen Curry, 2014-15",1
35.0,1.0,81.0,926.0,28,"Stephen Curry, 2014-15",1
30.0,4.0,85.0,956.0,29,"Stephen Curry, 2014-15",1
26.0,3.0,88.0,982.0,30,"Stephen Curry, 2014-15",1
33.0,5.0,93.0,1015.0,31,"Stephen Curry, 2014-15",1
31.0,1.0,94.0,1046.0,32,"Stephen Curry, 2014-15",1
34.0,4.0,98.0,1080.0,33,"Stephen Curry, 2014-15",1
35.0,3.0,101.0,1115.0,34,"Stephen Curry, 2014-15",1
29.0,4.0,105.0,1144.0,35,"Stephen Curry, 2014-15",1
32.0,7.0,112.0,1176.0,36,"Stephen Curry, 2014-15",1
31.0,2.0,114.0,1207.0,37,"Stephen Curry, 2014-15",1
33.0,2.0,116.0,1240.0,38,"Stephen Curry, 2014-15",1
